Comparison,Group,N,Mean_ProtNLM_Score,Median_ProtNLM_Score,Q1_ProtNLM_Score,Q3_ProtNLM_Score,IQR_ProtNLM_Score,Mann_Whitney_U,P_value,Rank_Biserial_Generic_vs_NonGeneric
generic vs non-generic top-1 label,Non-generic,436,0.14181935648446425,0.0866807696970148,0.04849253118888193,0.1592692007647851,0.11077666957590317,13776.0,0.00018123603678771563,-0.2565569347004857
generic vs non-generic top-1 label,Generic,85,0.08983379934259757,0.0587400869162623,0.0412730498529797,0.0861975964069831,0.0449245465540034,13776.0,0.00018123603678771563,-0.2565569347004857
