Threshold,Benchmark Proteins,Proteins With ProtNote Predictions,Proteins With >=1 Exact Match,Proteins With Predictions But No Exact Match,Protein Exact Agreement Rate,ProtNote GO Terms Predicted,InterPro2GO Terms For Predicted Proteins,Exact Matching GO Terms,Term-Level Exact Precision,Term-Level Exact Recall
0.5,4629,4624,2255,2369,0.48767301038062283,83747,38588,3561,0.04252092612272679,0.09228257489374936
0.7,4629,4519,1821,2698,0.4029652578003983,62864,37962,2752,0.04377704250445406,0.0724935461777567
0.8,4629,4252,1518,2734,0.3570084666039511,51580,36279,2234,0.0433113609926328,0.0615783235480581
0.9,4629,3506,1099,2407,0.3134626354820308,37567,31429,1557,0.04144594990284026,0.04954023354226988
