Binning_Variable,Bin,Count,Observed_Min,Observed_Max,Median_ProtNLM_Score,Mean_ProtNLM_Score,Q1_ProtNLM_Score,Q3_ProtNLM_Score,IQR_ProtNLM_Score
Ortholog count,"(-0.001, 8.0]",177,0,8,0.0806618789697186,0.12513456480965676,0.0502631994002683,0.146615147845274,0.09635194844500569
Ortholog count,"(8.0, 17.0]",89,9,17,0.0632839528602778,0.12273245602079529,0.0449558605941491,0.1112586266955094,0.0663027661013603
Ortholog count,"(22.0, 1864.0]",117,23,1864,0.0931199310993176,0.15232897284999353,0.0505357374800417,0.1736134520130893,0.12307771453304761
Ortholog count,"(17.0, 22.0]",138,18,22,0.074194913005024,0.13459866659955028,0.04197515152309975,0.14423443798728552,0.10225928646418578
Protein Length,"(289.0, 433.0]",130,290,433,0.086109936963003,0.16333754827181254,0.048786351005429204,0.16236998716232207,0.11358363615689286
Protein Length,"(173.0, 289.0]",130,174,289,0.0784410400613676,0.13024476771788443,0.047599648748114474,0.15064516910702866,0.10304552035891418
Protein Length,"(433.0, 1649.0]",129,434,1649,0.0873560090020104,0.1396755160929106,0.0507056313899486,0.1736134520130893,0.1229078206231407
Protein Length,"(65.999, 173.0]",132,66,173,0.07112960976979515,0.10064598270228131,0.04235084793066403,0.11826294864315945,0.07591210071249542
